UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
010b3835-53a6-45d7-b683-94ff6f9ff3fe,1898-99a.txt,"Es unterliegt kaum einem Zweifel, daß unser ökonomisches und poli¬ tisches Leben in den letzten zwei Jahrzehnten angefangen hat, Züge zu entwickeln, die zur Zeit der Abfassung unserer grundlegenden Schriften, vor Allem des „Kommu¬ nistischen Manifests"" und des „Kapital"", noch verborgen waren.",char-offset:782245,,,,,,,,,Manifest der Kommunistischen Partei|Kapital|Title Reference,,,
27b40daf-34c8-4f05-af9f-c451271b4013,1898-99a.txt,"Marx sagt darüber im Kommunistischen Manifest: „Der Kommunismus nimmt Keinem die Macht, sich gesellschaftliche Produkte zuzueignen, er nimmt nur die Macht, sich durch diese Aneignung fremde Arbeit zu unterjochen.“",char-offset:888152,,,,,,,,,Manifest der Kommunistischen Partei,,,
6ac302cb-3cdc-4749-b97c-3db7e089067b,1898-99a.txt,"Daß aber die Theoretiker der Fabier das „Erfurter Programm“ und der erste Band vog t Karl Marx' „Kapital"" eine „unerschöpfliche Fundgrube der Anregungen bilden“. wie Dr. S. Sänger in einer Einleitung zu dem vorliegenden Buche behauptet, ist, wenigstens soweit das „Kapital"" in Betracht kommt, eine große Uebertreibung. Die Theoretiker der Fabier verwerfen die Marxsche Werththeorie und damit den größten Theil der im „Kapital"" enthaltenen theoretischen Entwicklungen.",char-offset:1005751,,,,,,,,,Kapital|Title Reference,,,
5845d5bd-362f-4b24-8a9d-f878dedfa725,1898-99a.txt,"Marx schreibt also: Goethe verhält sich auf eine zwiefache Weise zur deutschen Gefellschaft seiner Zeit. Bald ist er ihr feindselig, er sucht dem ihm Widerwärtigen zu entfliehen, wie in der Iphigenie und überhaupt während der italienischen Reise, er rebellirt. gegen sie als Götz, Prometheus und Faust, er schüttet als Mephistopheles seinen bitteren Spott über sie aus. Bald dagegen ist er ihr befreundet, schickt sich in sie wie in der Mehrzahl.",char-offset:1126927,,,,,,,,,Non_Kapital,,,
f95945ed-20d2-4448-83c8-bfb5013c8543,1898-99a.txt,"Erst wenn man die historischen Studien von Mickiewiez durchgeblättert, kann man die scharfe Kritik begreifen, die Karl Marx in seiner „Revolution und Kontrerevolution“ an den „slavischen Dilettanten der historischen Wissenschaft übt. Marx sagtt „... In den Studirstuben einiger slavischen Dilettanten in der historischen Wissenschaft wurde jene lächerliche, antihistorische Bewegung geschaffen, eine Bewegung, die auf nichts Geringeres abzielte, als auf die Unterwerfung des zivilisirten Westens unter den barbarischen Osten; der Stadt unter das Land; des Handels, der Industrie, der Intelligenz unter den primitiven Ackerbau der slavischen Hörigen“",char-offset:1408129,,,,,,,,,Non_Kapital,Revolution and Counter Revolution,,
b62fbef3-b6c9-41c0-bb6b-69afe2e935ef,1898-99a.txt,"Zu diesem Zwecke wird die Marxsche Darlegung im ersten Bande des „Kapital"" (3. Aufl., S. 790) dahin interpretirt, daß unter „Verelendung"" nur Lohnverschlechterung, resp. Rückgang der allgemeinen Lebenshaltung verstanden werden könne, und dann auf die Erfahrung hingewiesen, daß wenn auch einige Arbeiterschichten heute viel¬ leicht niedriger in ihrer Lebenshaltung stehen, wie noch vor wenigen Jahrzehnten, andere dafür einen viel höheren Stand erreicht und sich eine ganze Reihe neuer¬ Bedürfnisse angewöhnt haben.",char-offset:1446090,,,,,,,,,Kapital,S.790,,
de77b14b-f71d-4f81-bdf0-6184247a6f9e,1898-99a.txt,"Er spricht vielmehr an der oben erwähnten e, Stelle von einer „Masse des Elends, des Druckes, der Knechtschaft, der Ent¬ artung, der Ausbeutung“",char-offset:1446849,,,,,,,,,Kapital,"(MEGA II/5, Seite 609)",,
f193799a-6427-4d94-8c33-6b116fb78866,1898-99a.txt,"Wenn indeß auch die kapitalistische Entwicklung entschieden viel weiter vor¬ geschritten ist, als sie nach Bernsteins Rechnung erscheint, so läßt sich doch anderer¬ seits nicht bestreiten, daß sich die Akkumulation nicht entfernt in dem schnellen Tenipo vollzogen hat, wie Marx und Engels Ende der vierziger Jahre annahmen, und wie Ersterer selbst noch zur Zeit der Veröffentlichung des ersten Bandes, seines „Kapital“ annehmen zu können glaubte.",char-offset:1527776,,,,,,,,,Kapital|Title Reference,,,
c8a7c51b-60bb-4cd1-a546-67cbf6e509b0,1898-99a.txt,"Als Marx und Engels das Kommu¬ nistische Manifest verfaßten, steckte die kapitalistische Entwicklung noch in ihren Flegeljahreu, und Beide beurtheilten sie nach einem relativ kleinen Entwicklungs¬ abschnitt und inmitten eines engungrenzten Gesichtsfeldes.",char-offset:1530701,,,,,,,,,Manifest der Kommunistischen Partei|Title Reference,,,
82c9a3c7-68d7-4f33-b6e5-7b98d145db92,1898-99a.txt,"Auf diese Ursachen führt auch Engels das Aufhören der großen Krifen zurück, so¬ 3. B. im dritten Bande des „Kapital"", zweiter Theil, S. 27. Note: „Dem früher die In¬ dustrie monopolisirenden England sind eine Reihe konkurrirender Industrieländer zur Seite getreten; der Anlage des überschüssigen enropäischen Kapitals sind in allen Welttheilen un¬ endlich größere und mannigfaltigere Gebiete eröffnet, so daß es sich weit mehr vertheilt, und lokale Ueberspekulation leichter überwunden wird. Durch alles dies sind die meisten altet, Krisenherde und Gelegenheiten zur Krisenbildung beseitigt oder stark abgeschwächt.""",char-offset:1542062,,,,,,,,,Kapital Bd. III,"S.27 (MEGA, II/15, s.486)",,
