"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"088ba08e-2b00-49a8-a85e-dca8bb32ab73","1896-97aCLEAN.txt","Diese Ausstellung wurde von der englischen Bourgeoiste bereits im Jahre 1849, als noch der ganze Kontinent von Revolution träumte, mit der bewundernswerthesten Kaltblütigkeit ausgeschrieben. In ihr beruft sie ihre sämmtlichen Vasallen von Frankreich bis China zu einem großen Examen zusammen, auf dem sie nachweisen sollen, wie sie ihre Zeit ge¬ nutzt haben, und selbst der allmächtige Zar von Rußland kann nicht umhin, seinen Unterthauen zu befehlen, auf dieser großen Prüifung zahlreich zu erscheinen. Dieser große Weltkongreß von Produkten und Produzentet ist von ganz anderer Be¬ deulung als die absolutistischen Kongresse von Bregenz und Warschau, die unseren 3 Arbeiter und Gewerbeausstellung. koutinentalen Spießbürgern so viel Schweiß auspressen, oder als die europäisch¬ demokratischen Kongresse, welche die verschiedenen provisorischen Regierungen in partibus zur Rettung der Welt stets aufs Neue projektiren. Diese Ausstellung, ist ein schlagender Beweis von der konzentrirten Gewalt, womit die uoderne i¬ große Industrie überall die nationalen Schranken niederschlägt und die lokalen Besonderheiten in der Produktion, den gesellschaftlichen Verhältnissen, dem Cha¬ rakter jedes einzelnen Volkes, mehr und mehr verwischt. Indem sie die Gesammt¬ masse der Produktionskräfte der modernen Industrie auf einen kleinen Raum¬ zusammengedrängt zur Schau stellt, gerade zu einer Zeit, wo die modernen bürger¬ lichen Verhältnisse schon von allen Seiten untergraben sind, bringt sie zugleich, das Material zur Anschauung, das sich inmitten dieser unterwühlten Zustände für den Aufbau einer neuen Gesellschaft erzengt hat und noch täglich erzeugt. Die Bourgeoiste der Welt errichtet durch diese Ausstellung im modernen Rom¬ ihr Pantheon, worin sie die Götter, die sie sich selbst gemacht hat, mit stolzer Selbstzufriedenheit ausstellt. Sie beweist dadurch praktisch, daß die Ohumacht, und Verdrießlichkeit des Bürgers', von der deutsche Ideologen jahraus jahrein predigen, nur die eigene Ohnmacht dieser Herren ist, die moderne Bewegung zu begreifen, und ihre eigene Verdrießlichkeit über diese Ohnmacht. Die Bourgeoisie¬ feiert dies ihr größtes Fest in einem Augenblick, wo der Zusammenbruch ihrer ganzen Herrlichkeit bevorsteht, ein Zusammenbruch, der ihr schlagender als je nachweisen wird, wie die von ihr erschaffenen Mächte ihrer Zucht entwachsen sind. Bei einer zukünftigen Ausstellung werden die Bourgevis vielleicht nicht mehr als¬ Inhaber dieser Produktivkräfte, sondern nur noch als ihre Ciceroni figuriren.","char-offset:5695","","","","","","","","","Non_Kapital","Marx, Neuen Rheinischen Zeitung 1850","",""
"b17cf9ac-2dad-44dc-8850-66c30e32598d","1896-97aCLEAN.txt","London, 18. Oktober 1868. Werther Herr! Wenn Sie keine Antwort auf Ihren Brief vom 15. September erhielten, Ich verstand den Brief so, lag die Schuld an einem Mißverständniß meinerseits. daß Sie mir Ihre „Vorlagen“ zur Einsicht mittheilen wollten. Ich wartete darauf. 8 Die Neue Zeit. Dann kam Ihr Kongreß,! und nun hielt ich Antwort —(heing much overworked) — nicht mehr für dringend. Bevor Ihr Schreiben vom 8. Oktøber eintraf, hatte ich bereits wiederholt, in meiner Eigenschaft als Sekretär der Internationalen für Deutschland, zum Frieden gemahnt. Man hat mir geantwortet (und dazu Beleg¬ stellen aus dem „Sozialdemokrat“ geschickt), daß Sie selbst den Krieg provozirten. Ich erklärte, daß meine Rolle sich nothwendig auf die des „Unparteiischen“ beim Duell beschränken müsse. Ich glaube, das große Vertrauen, das Sie mir in Ihren Briefen aussprechen, nicht besser erwidern zu können, als indem ich Ihnen offen, ohne alle diplomatischen Umschweife, meine Ansicht über die Sachlage mittheile. Ich unterstelle dabei, daß es Ihnen wie mir nur um die Sache zu thun ist. Ich erkenne unbedingt die In¬ telligenz und Energie an, womit Sie in der Arbeiterbewegung wirken. Ich habe diese meine Ansicht keinem meiner Freunde verhehlt. Wo ich mich öffentlich auszu¬ sprechen habe — im Generalrath der Internationalen Arbeiterassoziation und dem habe ich, Sie beständig als einen Mann, hiesigen deutschen Kommunistenverein — unserer Partei behandelt und nie ein Wort über Differenzpunkte fallen lassen. Dennoch bestehen solche Differenzpunkte. D'abord, was den Lassalleschen Verein betrifft, so war er gestiftet in einer Zeit der Reaktion. Nach fünfzehnjährigem Schlummer rief Lassalle — und dies¬ bleibt sein unsterbliches Verdienst — die Arbeiterbewegung wieder wach in Deutsch¬ land. Aber er beging große Fehler. Er ließ sich zu sehr durch die unmittelbaren Zeitumstände beherrschen. Er machte den kleinen Ausgangspunkt - seinen Gegensatz¬ zum Zentralpunkt seiner Agitation — gegen einen Zwerg wie Schulze-Delitzsch Staatshilfe gegen Selbsthilfe. Er nahm damit nur die Parole wieder auf, die Buchez, der Chef des französischen katholischen Sozialismus, 1843 sgg. gegen die wirkliche Arbeiterbewegung in Frankreich ausgegeben hatte. Viel zu intelligent, um diese Parole für etwas anderes als ein transitorisches pis aller zu halten, konnte er ste nur durch ihre unmittelbare (angeblichel) prackieubility rechtfertigen. Zu diesem für die nächste Zukunft behaupten. Der Behufe mußte er ihre Ausführbarkeit „Staat"" verwandelte sich daher in den preußischen Staat. So wurde er zu Kon¬ zessionen an das pr. Königthum, die pr. Reaktion (Feudalpartei) und selbst die¬ Klerikalen gezwungen. Mit der Buchezschen Staatshilfe für Assoziationen verband er den Chartistenruf des allgemeinen Wahlrechts. Er übersah, daß die Bedingungen in Deutschland und England verschiedene. Er übersah die Lektionen des has empire über das allgemeine Wahlrecht. Er gab ferner von vornherein — wie jeder Mann, der behauptet, eine Panaeee für die Leiden der Masse in der Tasche zu haben — seiner Agitation einem religiösen Sektencharakter. In der That, jede Sekte ist religtös. Er verleugnete mit der früheren. ferner, eben weil Sektenstister, allen natürlichen Zusammenhang seiner Agitation nicht. Bewegung. Er fiel in den Fehler Proudhons, die reelle Basis¬ sondern letzterer nach. aus den wirklichen Elementen der Klassenbewegung zu suchen, einem gewissen doktrinären Rezept ihren Verlauf vorschreiben zu wollen. Was ich hier post Jestum sage, habe ich großentheils dem Lassalle vorher¬ gesagt, als er 1862 nach London kam und mich aufforderte, mich mit ihm an die Spitze der neuen Bewegung zu stellen. Sie selbst haben den Gegensatz zwischen Sektenbewegung und Klafsenbewegung, in eigener Person erfahren. Die Sekte sucht ihre raison d'étre in ihrem point¬ d'honneur, nicht in dem, was sie mit der Klassenbewegung gemein hat, sondern in dem besonderen Schiboleth, das sie von ihr unterscheidet. Als Sie daher zu Hamburg den Kongreß zur Trades Unions-Stiftung vorschlugen, konnten Sie den Sektenwiderstand nur niederschlagen durch Drohung, die Präsidentenwürde nieder¬ zulegen. Sie waren außerdent gezwungen, Ihre Person zu verdoppeln, zu erklären, ie das eine Mal als Sektenhaupt und das andere Mal als Organ der Klassenbewegung, zu handeln. D. h. die öffentliche Kongreßeinladung. 9 Ein Brief von Karl Marx an J. B. v. Schweitzer. Die Auflösung des A. D. A. gab Ihnen den (historischen)! Anlaß, einen großen Fortschritt zu vollziehen und zu erklären, zu beweisen, s'i le fallait, daß nun ein neues Entwicklungsstadium eingetreten und der Augenblick für die Sektenbewegung reif sei, in die Klassenbewegung aufzugehen und allem „Anerthum"" ein Ende zu machen. Was den wahren Inhalt der Sekte betraf, würde sie ihn, wie alle früheren Arbeitersekten, als bereicherndes Element in die allgemeine Bewegung tragen. Statt¬ bessen haben Sie in der That die Forderung an die Klassenbewegung gestellt, sich einer besonderen Sektenbewegung unterzuordnen. Ihre Nichtfreunde haben daraus, geschlossen, daß Sie unter allen Umständen Ihre „eigene Arbeiterbewegung“ konser¬ viren wollen. Was den Berliner Kongreß betrifft, so war d’abord die Zeit zicht drängend, da das Koalitionsgesetz noch nicht votirt ist. Sie mußten sich also mit den Führern, außerhalb des Lassalleschen Kreises verständigen, gemeinsamt mit ihnen den Plan¬ ausarbeiten und den Kongreß berufen. Statt dessen ließen Sie nur die Alternative, offen sich Ihnen anzuschließen, oder Front gegen Sie zu machen. Der Kongreß¬ selbst erschien nur als erweiterte Auflage des Hamburger Kongresses. Was den Statutenentwurf betrifft, so halte ich ihn für prinzipiell verfehlt, und ich glaube, so viel Erfahrung als irgend ein Zeitgenosse auf dem Gebiete der Trades Unions zu haben. Ohne hier weiter auf Details einzugehen, bemerke ich zur, daß die Organisation, so sehr sie für geheime Gesellschaften und Sektenbewegungen, taugt, dem Wesen der Trades Unions widerspricht. Wäre sie möglich - ich erkläre sie tout honnement für unmöglich —, so wäre sie nicht wünschenswerth, am wenigstett, in Deutschland. Hier, wo der Arbeiter von Kindesbeinen an bureaukratisch ge¬ maßregelt wird und an die Autorität, an die vorgesetzte Behörde glaubt, gilt es vor¬ allem ihn selbständig gehen zu lehren. Ihr Plan ist auch sonst unpraktisch. Im „Verband“ drei unabhängige Mächte verschiedenen Ursprungs: 1) der Ausschuß, gewählt von den Gewerken; 2) der Präsident (eine hier ganz überflüssige Person), gewählt durch allgemeines Stimm¬ recht. (In den Statuten der Internationalen Arbeiterassoziation figurirt auch ein Präsident der Assoziation. Er hatte jedoch in Wirklichkeit nie eine andere Funktion, als den Sitzungen des Generalraths zu präsidiren. Auf meinen Vorschlag schaffte man 1867 die Würde, die ich 1866 ausschlug, ganz ab und ersetzte sie durch einen Vorfitzenden (chiairman), der in jeder Wochensitzung des Generalraths gewählt wird. Der London Trades Council hat ebenfalls nur einen chairman. Sein stehendere, Beamter ist nur der Sekretär, weil dieser eine kontinuirliche Geschäftsfunktion verrichtet.) JNB. Dieser Passus folgt in der Abschrift des Briefes an Schweitzer nach¬ Beendigung des nächsten Satzes. D. H.) 3) Der Kongreß, gewählt durch die Lokali¬ täten. Also überall Kollisionen, und das soll „rasche Aktion“ befördern: Hier nun der Zwischensatz. D. H.) Lassalle beging großen Mißgriff, als er den „Au du suffruge universel“ der französtschen Konstitution von 1852 enklehnte. Nun gar in einer Trades Unionsbewegung! Diese dreht sich großentheils um Geldfragen, und Sie werden bald entdecken, daß hier alles Diktatorthum aufhört. Indeß, welches immer die Fehler der Organisation, sie können vielleicht durch rationelle Praxis mehr oder minder ausgemerzt werden. Ich bin bereit, als Sekretär der Internationale den Vermittler zwischen Ihnen und der Nürnberger Majorität, die sich direkt der Internationale angeschlossen hat, zu spielen — auf rationeller Grundlage, versteht sich. Ich habe dasselbe nach Leipzig geschrieben. Ich¬ verkenne die Schwierigkeiten Ihrer Stellung nicht und vergesse nie, daß Jeder von uns mehr von den Umständen als seinem Wollen abhängt. „Historisch“ ist im Original entweder unterstrichen oder durchstrichen. Wahrscheinlich letzteres. Das Manuskript ist hier sehr undeutlich. Kreuz- und Querstriche. Im Jahre 1868, wurde der bis dahin in Leipzig domizilirte Allgemeine Deutsche Arbeiterverein aufgelöst, worauf Schweitzer einen neuen Verein gleichen Namens und Charakters mit dem Zentralsitz Der Herausgeber. Berlin konstituirte. Die Neue Zeit. 10 Ich verspreche Ihnen unter allen Umständen die Unparteilichkeit sim Manu¬ fkript Unpartetischkeit. D. H.), die meine Pflicht ist. Anderseits kann ich aber nicht, versprechen, daß ich nicht eines Tages als Privatschriftsteller — sobald ich es für absolut durch das Interesse der Arbeiterbewegung diktirt halte — offene Kritik an dem¬ Lassalleschen Aberglauben üben werde, wie ich es seinerzeit an dem Proudhonschen gethan habe. Indem ich Sie perfönlich meines besten Willens für Sie versichere. Ihr ergebener K. Marx.","char-offset:24563","","","","","","","","","Non_Kapital","Marx letter 13th October 1868","",""
"268cb4b1-e25e-4c51-a3d0-aa51b85a298c","1896-97aCLEAN.txt","„die Arbeiter¬ klasse nicht die fertige Staatsmaschine einfach in Besitz nehmen und für ihre eigenen Zwecke in Bewegung setzen kann“","char-offset:91679","","","","","","","","","Manifest der Kommunistischen Partei","From German Forward 1872

","",""
"7acde8f4-49a6-4ec4-b03e-9a87498dfff2","1896-97aCLEAN.txt","Bet gewissem Höhegrad und Umfang der Waarenproduktion greift die Funktion des Geldes als Zahlungsmittel über die Sphäre der Waarenzirkulation hinaus. Es wird die allgeneine Waare der Kontrakte. Renten, Steuern u. s. w. ver¬ wandeln sich aus Naturallieferungen in Geldzahlungen. Wie sehr diese Um¬ wandlung durch die Gesammtgestalt des Produktionsprozefses bedingt wird, be¬ weist z. B. der zweimal gescheiterte Versuch des römischen Kaiserreichs, alle Ab¬ gaben in Geld zu erheben. Das ungeheure Elend des französischen Landvolts¬ unter Ludwig XIV., das Boisguillebert, Marschall Vauban u. s. w. so beredt denunziren, war nicht nur der Steuerhöhe geschuldet, sondern auch der Verwand¬ lung der Naturalsteuer in Geldsteuer. Wenn andererseits die Naturalform der Grundrente, in Asien zugleich das Hauptelement der Staatssteuer, dort auf Pro¬ duktionselementen beruht, welche sich mit der Umwandelbarkeit von Natural¬ verhältnissen reproduziren erhält jene Zahlungsform rückwirkend die alte Pro¬ duktionsform. Sie bildet eines der Selbsterhaltungsgeheimnisse des türkischen Reichs.“ („Kapital“, I. Band, 2. Auflage, Seite 122.)","char-offset:155397","","","","","","","","","Kapital","Band 1, 2. Auflage, p. 122","",""
"5000495a-aa4e-48ff-87df-4e8efd638a7d","1896-97aCLEAN.txt","Früher und mehr als andere seiner Landsleute hat sich Hyndman dem Studium des „Kapital“ ——— Wegen Raummangels verspätet. Die Redaktion. Ed. Bernstein: Sozialistische Oekonomie in England. gewidmet, und er hat keine Gelegenheit vorübergehen lassen, in Vorträgen und Abhandlungen die gewonnenen Ideen mit Schärfe geltend zu machen.","char-offset:167889","","","","","","","","","Kapital|Title Reference","","",""
"8acd38a9-948d-469a-a505-0a4856b977d0","1896-97aCLEAN.txt","dritten Band des „Kapital“","char-offset:176203","","","","","","","","","Kapital Bd. III","","",""
"5329896b-353d-46ac-9f2d-b5ed952cc8dc","1896-97aCLEAN.txt","Man vergleiche nur Hyndmans erthlehre mit dem fünften Kapitel des ersten Bandes: „Arbeitsprozeß und Verwerthungsprozeß"" wo der Leser Genaueres über die Werthbildung erfährt.","char-offset:179797","","","","","","","","","Kapital|Concept Reference","Chapter ""Arbeitsprozeß und Verwrthungsprozeß""","",""
"8d09bb68-efe2-4aa1-b47d-c581be70554c","1896-97aCLEAN.txt","Hyndman alle Probleme der Arbeitswerththeorte, die nicht im ersten Bande des „Kapital“ behandelt sind, dem Feilschen auf dem Markte“ zuschiebt, mit diesem die Sache für endgiltig erledigt hält.","char-offset:187419","","","","","","","","","Kapital|Title Reference","","",""
"6005b58c-9319-491e-98e5-90f0cc04ff4c","1896-97aCLEAN.txt","Wie wenig Marx dagegen selbst noch nach der Weiterausführung seiner Theorie im dritten Bande eine spezielle Analyse der Wirkungen von Bedarf und Zufuhr für überflüssig hielt, dafür nur eine Beweisstelle. „Die wirklichen inneren Gesetze der kapitalistischen Produktion"", schreibt er im zweiten Abschnitt des dritten Buches, „können offenbar nicht aus der Wechselwirkung von Nachfrage und Zufuhr. erklärt werden, da diese Gesetze nur dann rein verwirklicht erscheinen, sobald Nach¬ frage und Zufuhr aufhören zu wirken, d. h. sich decken.“ Aber er setzt in Klammern hinzu: „Ganz abgesehen von tieferer, hier nicht angebrachter, Analyse dieser beiden gesellschaftlichen Triebkräfte“ und bemer weiter, daß in der That Nachfrage und Zufuhr sich niemals decken, oder wenn sie es doch einmal thun, nur als Spiel des Zufalls, was wissenschaftlich gleich¬ Null zu setzen ist.","char-offset:187613","","","","","","","","","Kapital Bd. III","","",""
"c21763d0-9144-4125-9039-cff8d1544fc1","1896-97aCLEAN.txt","Die schönen Ausführungen des ersten Buches des „Kapital"" über die Waare und das Geld sind, wie man weiß, nicht nur begrifflich-analytischen, sondern auch genetischen Charakters, zeigen deren thatsächliche Entstehungs- und Entwicklungsgeschichte.","char-offset:188769","","","","","","","","","Kapital|Title Reference","","",""
