dnz_sent_id,marx_sent_id,distance,rank,is_match,dnz_text,marx_text
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p147:0018,1.0093181133270264,0,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","(S. Laing: National 
Distress etc. London 1844.)"
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p147:0022,1.1586508750915527,1,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche",(„Outlines of Polit. Economy.
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p147:0023,1.1872458457946777,2,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","London 1832“, p.22, 23.)"
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p402:0010,1.2107570171356201,3,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","31st Oct. 1865“, p. 129.)"
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p147:0020,1.216719627380371,4,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche",Brit. 1824.)
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p402:0011,1.2398512363433838,5,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","313) l. c. p. 27, 32."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p395-396:0017,1.240127444267273,6,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","Weitere Belege findet man in Senior's   Rede auf dem 
sociologischen Kongress zu Edinburg 1863."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p25:0009,1.2528300285339355,7,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","Bildungselemente der Ge- 
brauchswerthe Rock und Leinwand sind Schneiderarbeit und Weberei eben 
durch ihre verschiednen Qualitäten, Substanz des Rockwerths und Lein- 
wandwerths sind sie nur, soweit von ihrer besondern Qualität abstrahirt wird 
und beide gleiche Qualität besitzen, die Qualität menschlicher Arbeit."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p147:0019,1.2621721029281616,8,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","“The great class, who have nothing to give for food but ordinary 
labour, are the great bulk of the people.” (James Mill in Art. „Colony.“ Supplement of the 
Encyclop."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0000",p402:0013,1.294468641281128,9,false,"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche","315) „Child. Empl. Comm. V. Rep.“, p. X, n. 35."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p402:0009,1.0798348188400269,0,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"Herr J. Simpson (Paper-Box Bag maker, London) 
erklärt den Kommissären der „Child. Empl. Comm.“: „Er wolle jede Petition   
  312) “Factory labour may be as pure and as excellent as domestic labour, and perhaps more so.” 
(„Reports of Insp. of Fact."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p147:0022,1.1192222833633423,1,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,(„Outlines of Polit. Economy.
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p25:0009,1.1661250591278076,2,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"Bildungselemente der Ge- 
brauchswerthe Rock und Leinwand sind Schneiderarbeit und Weberei eben 
durch ihre verschiednen Qualitäten, Substanz des Rockwerths und Lein- 
wandwerths sind sie nur, soweit von ihrer besondern Qualität abstrahirt wird 
und beide gleiche Qualität besitzen, die Qualität menschlicher Arbeit."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p25:0014,1.17483651638031,3,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"Der Leser muß aufmerken, daß hier nicht vom Lohn oder Werth die Rede ist, den der Arbeiter 
etwa für einen Arbeitstag erhält, sondern vom Waarenwerth, worin sich sein Arbeitstag ver- 
gegenständlicht."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p147:0018,1.204904556274414,4,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"(S. Laing: National 
Distress etc. London 1844.)"
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p395-396:0009,1.2316269874572754,5,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"Sie erklären so in der That Schwindsucht und andre 
Lungenkrankheiten der Arbeit für eine Lebensbedingung des Kapitals."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p25:0000,1.244547963142395,6,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"oder menschliche Arbeit ohne weitern Schnörkel, Schneiderarbeit dagegen 
für   Verausgabung höher entwickelter Arbeitskraft."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p147:0007,1.2543485164642334,7,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"Der Unterschied zwischen höherer und einfacher, „skilled“ und „unskilled labour“, beruht 
 zum Theil auf bloßen Illusionen, oder wenigstens Unterschieden, die längst aufgehört haben 
reell zu sein und nur noch in traditioneller Convention fortleben;"
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p147:0019,1.259058952331543,8,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"“The great class, who have nothing to give for food but ordinary 
labour, are the great bulk of the people.” (James Mill in Art. „Colony.“ Supplement of the 
Encyclop."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0001",p395-396:0019,1.2602739334106445,9,false,Bernstein: Der Sozialismus und die gewerbliche Arbeit der Jugend.,"Aus dem Fabriksystem, wie man 
in Detail bei Robert Owen verfolgen kann, entsproß der Keim der Erziehung 
der Zukunft, welche für alle Kinder über einem gewissen Alter produktive 
Arbeit mit Unterricht und Gymnastik verbinden wird, nicht nur als eine 
Methode zur Steigerung der gesellschaftlichen Produktion, sondern als die 
einzige Methode zur Produktion vollseitig entwickelter Menschen."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0002",p402:0009,1.0426101684570312,0,false,"37
Der Bozialismus und die gewerbliche Arbeit der
Jugend.","Herr J. Simpson (Paper-Box Bag maker, London) 
erklärt den Kommissären der „Child. Empl. Comm.“: „Er wolle jede Petition   
  312) “Factory labour may be as pure and as excellent as domestic labour, and perhaps more so.” 
(„Reports of Insp. of Fact."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0002",p402:0002,1.0532524585723877,1,false,"37
Der Bozialismus und die gewerbliche Arbeit der
Jugend.","Ebenso leuchtet ein, 
daß die Zusammensetzung des kombinirten Arbeitspersonals aus Individuen 
beiderlei Geschlechts und der verschiedensten Altersstufen, obgleich in ihrer 
naturwüchsig brutalen, kapitalistischen Form, wo der Arbeiter für den Pro- 
duktionsprozeß, nicht der Produktionsprozeß für den Arbeiter da ist, Pest- 
quelle des Verderbs und der Sklaverei, unter entsprechenden Verhältnissen 
umgekehrt zur Quelle humaner Entwicklung umschlagen muß 312)."
"Bernstein,_1897__790_Der-Sozialismus-und-die-gewerbliche:0002",p147:0022,1.0781259536743164,2,false,"37
Der Bozialismus und die gewerbliche Arbeit der
Jugend.",(„Outlines of Polit. Economy.
